Month,coral reef bleaching,great barrier reef climate change
2004-01,41,0
2004-02,61,0
2004-03,100,0
2004-04,29,19
2004-05,58,34
2004-06,25,0
2004-07,18,18
2004-08,41,0
2004-09,23,0
2004-10,69,0
2004-11,54,0
2004-12,43,0
2005-01,19,0
2005-02,40,0
2005-03,55,0
2005-04,81,12
2005-05,33,0
2005-06,33,22
2005-07,22,11
2005-08,16,0
2005-09,68,0
2005-10,59,0
2005-11,45,18
2005-12,31,0
2006-01,16,0
2006-02,33,0
2006-03,45,7
2006-04,76,0
2006-05,54,7
2006-06,18,0
2006-07,18,7
2006-08,7,0
2006-09,25,6
2006-10,26,12
2006-11,34,6
2006-12,15,0
2007-01,36,5
2007-02,27,11
2007-03,47,5
2007-04,36,0
2007-05,61,17
2007-06,31,4
2007-07,9,4
2007-08,31,8
2007-09,22,18
2007-10,38,7
2007-11,45,7
2007-12,17,6
2008-01,19,0
2008-02,22,7
2008-03,28,12
2008-04,26,12
2008-05,35,9
2008-06,23,6
2008-07,21,3
2008-08,14,9
2008-09,23,7
2008-10,35,11
2008-11,28,11
2008-12,32,0
2009-01,17,10
2009-02,33,3
2009-03,40,10
2009-04,43,8
2009-05,47,6
2009-06,22,8
2009-07,16,2
2009-08,21,6
2009-09,26,12
2009-10,31,9
2009-11,41,5
2009-12,19,4
2010-01,15,2
2010-02,19,10
2010-03,36,10
2010-04,21,7
2010-05,32,7
2010-06,26,6
2010-07,9,3
2010-08,11,7
2010-09,28,4
2010-10,25,6
2010-11,26,5
2010-12,14,1
2011-01,18,3
2011-02,18,2
2011-03,36,2
2011-04,31,3
2011-05,37,6
2011-06,7,6
2011-07,12,3
2011-08,14,6
2011-09,18,4
2011-10,22,6
2011-11,24,5
2011-12,12,4
2012-01,11,3
2012-02,18,3
2012-03,18,5
2012-04,21,5
2012-05,21,9
2012-06,9,7
2012-07,6,4
2012-08,10,5
2012-09,19,9
2012-10,26,6
2012-11,23,8
2012-12,11,2
2013-01,12,2
2013-02,18,2
2013-03,23,8
2013-04,24,3
2013-05,25,8
2013-06,14,2
2013-07,8,3
2013-08,8,6
2013-09,15,6
2013-10,18,7
2013-11,17,5
2013-12,14,4
2014-01,13,1
2014-02,18,7
2014-03,20,5
2014-04,20,7
2014-05,22,7
2014-06,15,4
2014-07,8,3
2014-08,12,9
2014-09,14,7
2014-10,17,10
2014-11,26,14
2014-12,15,5
2015-01,11,3
2015-02,20,4
2015-03,15,13
2015-04,18,8
2015-05,23,11
2015-06,11,7
2015-07,6,4
2015-08,9,9
2015-09,14,10
2015-10,28,12
2015-11,21,11
2015-12,14,4
2016-01,11,4
2016-02,15,7
2016-03,37,13
2016-04,70,12
2016-05,60,19
2016-06,44,13
2016-07,19,3
2016-08,28,13
2016-09,32,11
2016-10,90,20
2016-11,55,17
2016-12,35,8
2017-01,26,8
2017-02,37,9
2017-03,64,19
2017-04,70,15
2017-05,58,14
2017-06,34,12
2017-07,32,10
2017-08,35,9
2017-09,40,12
2017-10,42,9
2017-11,51,15
2017-12,32,8
2018-01,35,7
2018-02,46,8
2018-03,46,12
2018-04,53,12
2018-05,58,15
2018-06,29,9
2018-07,19,3
2018-08,28,9
2018-09,34,13
2018-10,28,11
