Month,reef scuba
2004-01,100
2004-02,61
2004-03,82
2004-04,96
2004-05,87
2004-06,73
2004-07,91
2004-08,58
2004-09,61
2004-10,71
2004-11,67
2004-12,77
2005-01,51
2005-02,47
2005-03,72
2005-04,47
2005-05,77
2005-06,65
2005-07,54
2005-08,50
2005-09,74
2005-10,52
2005-11,57
2005-12,54
2006-01,69
2006-02,71
2006-03,51
2006-04,35
2006-05,48
2006-06,43
2006-07,56
2006-08,73
2006-09,33
2006-10,45
2006-11,40
2006-12,35
2007-01,41
2007-02,48
2007-03,41
2007-04,43
2007-05,51
2007-06,51
2007-07,47
2007-08,33
2007-09,41
2007-10,40
2007-11,39
2007-12,31
2008-01,40
2008-02,30
2008-03,42
2008-04,33
2008-05,42
2008-06,41
2008-07,38
2008-08,38
2008-09,44
2008-10,42
2008-11,33
2008-12,36
2009-01,42
2009-02,30
2009-03,38
2009-04,33
2009-05,43
2009-06,33
2009-07,31
2009-08,33
2009-09,28
2009-10,37
2009-11,35
2009-12,30
2010-01,42
2010-02,30
2010-03,34
2010-04,28
2010-05,32
2010-06,28
2010-07,33
2010-08,30
2010-09,28
2010-10,26
2010-11,31
2010-12,24
2011-01,28
2011-02,25
2011-03,27
2011-04,29
2011-05,30
2011-06,30
2011-07,31
2011-08,25
2011-09,27
2011-10,28
2011-11,22
2011-12,22
2012-01,29
2012-02,29
2012-03,26
2012-04,29
2012-05,36
2012-06,26
2012-07,25
2012-08,30
2012-09,31
2012-10,20
2012-11,23
2012-12,18
2013-01,22
2013-02,27
2013-03,26
2013-04,24
2013-05,19
2013-06,27
2013-07,25
2013-08,29
2013-09,24
2013-10,20
2013-11,21
2013-12,24
2014-01,22
2014-02,25
2014-03,23
2014-04,23
2014-05,24
2014-06,26
2014-07,23
2014-08,21
2014-09,25
2014-10,17
2014-11,19
2014-12,20
2015-01,24
2015-02,22
2015-03,19
2015-04,26
2015-05,25
2015-06,25
2015-07,25
2015-08,26
2015-09,23
2015-10,20
2015-11,22
2015-12,23
2016-01,25
2016-02,27
2016-03,25
2016-04,24
2016-05,30
2016-06,23
2016-07,22
2016-08,20
2016-09,23
2016-10,18
2016-11,23
2016-12,21
2017-01,26
2017-02,26
2017-03,21
2017-04,28
2017-05,22
2017-06,22
2017-07,27
2017-08,23
2017-09,23
2017-10,23
2017-11,20
2017-12,21
2018-01,24
2018-02,24
2018-03,24
2018-04,24
2018-05,22
2018-06,20
2018-07,22
2018-08,22
2018-09,19
2018-10,22
