Month,ocean acidification: (Worldwide),ocean acidification effects: (Worldwide),what is ocean acidification: (Worldwide),coral reef ocean acidification: (Worldwide),coral reef climate change: (Worldwide),global warming: (Worldwide),global warming and coral reefs: (Worldwide)
2004-01,0,0,0,0,0,27,72
2004-02,0,0,0,0,0,30,71
2004-03,10,0,0,0,0,31,89
2004-04,0,0,0,0,0,28,0
2004-05,0,0,0,0,97,31,58
2004-06,0,0,0,0,97,24,0
2004-07,0,0,0,0,0,14,0
2004-08,0,0,0,0,0,14,0
2004-09,0,0,0,0,0,27,0
2004-10,0,0,0,0,0,31,54
2004-11,0,0,0,0,89,38,0
2004-12,0,0,0,0,0,28,100
2005-01,0,0,0,0,73,35,0
2005-02,0,0,0,0,0,38,0
2005-03,4,0,0,0,64,32,38
2005-04,10,0,0,0,0,32,0
2005-05,0,0,0,0,0,31,0
2005-06,0,0,0,0,0,23,38
2005-07,8,0,0,0,0,18,0
2005-08,0,0,0,0,0,17,37
2005-09,4,0,0,0,0,33,0
2005-10,3,0,0,0,80,35,0
2005-11,10,0,0,0,53,41,32
2005-12,0,0,0,0,0,28,31
2006-01,3,0,0,0,0,29,0
2006-02,5,0,0,0,47,36,57
2006-03,13,0,0,0,0,38,49
2006-04,14,0,0,0,44,44,26
2006-05,8,0,0,0,40,43,36
2006-06,4,0,0,0,0,38,25
2006-07,12,0,0,0,0,33,25
2006-08,5,26,0,0,0,25,0
2006-09,7,0,0,0,0,37,0
2006-10,11,0,0,0,33,44,0
2006-11,16,0,0,0,33,54,39
2006-12,11,0,0,0,34,51,20
2007-01,11,0,0,0,29,76,27
2007-02,8,0,0,0,93,96,37
2007-03,14,18,17,0,54,100,24
2007-04,16,0,0,0,56,100,34
2007-05,8,0,0,55,24,84,66
2007-06,6,0,0,0,0,55,0
2007-07,6,0,0,56,25,45,15
2007-08,14,16,0,0,47,40,14
2007-09,7,0,0,52,57,53,35
2007-10,17,14,9,47,51,67,37
2007-11,16,20,0,0,40,71,96
2007-12,17,15,0,97,75,59,26
2008-01,6,26,0,43,75,55,34
2008-02,15,0,0,0,38,58,35
2008-03,17,0,8,41,18,55,27
2008-04,20,18,8,41,18,66,16
2008-05,20,24,0,40,26,61,27
2008-06,14,0,0,0,18,44,11
2008-07,17,12,0,0,18,32,32
2008-08,8,12,8,0,0,27,21
2008-09,15,0,17,37,24,41,10
2008-10,23,30,9,100,66,45,22
2008-11,17,21,7,0,54,48,37
2008-12,19,31,7,36,15,39,28
2009-01,19,10,6,32,21,40,21
2009-02,23,10,6,34,0,41,0
2009-03,30,27,14,0,39,45,16
2009-04,29,37,6,62,41,46,12
2009-05,16,13,6,30,33,42,20
2009-06,22,9,11,29,32,31,15
2009-07,16,17,6,0,19,25,8
2009-08,20,18,11,29,13,22,8
2009-09,32,29,5,27,48,31,15
2009-10,39,23,12,26,56,41,17
2009-11,32,19,5,26,45,52,34
2009-12,39,35,10,0,17,57,27
2010-01,21,7,13,36,21,44,13
2010-02,32,34,12,38,44,44,23
2010-03,35,41,8,23,39,40,21
2010-04,41,46,27,36,62,37,25
2010-05,32,32,9,71,46,34,22
2010-06,24,7,4,24,31,23,6
2010-07,15,13,4,0,20,18,6
2010-08,18,13,4,32,33,18,6
2010-09,27,19,4,0,32,22,14
2010-10,35,21,11,59,30,26,21
2010-11,38,14,13,19,38,28,15
2010-12,30,12,13,0,21,23,10
2011-01,26,16,13,0,16,26,0
2011-02,36,17,9,38,25,28,5
2011-03,36,18,9,34,59,26,7
2011-04,37,14,8,45,32,23,10
2011-05,35,20,11,67,37,25,16
2011-06,29,8,10,17,46,20,9
2011-07,19,10,6,17,19,16,14
2011-08,20,25,9,0,32,17,4
2011-09,26,19,12,32,17,21,10
2011-10,38,34,8,0,39,23,14
2011-11,40,34,13,60,23,27,16
2011-12,27,9,14,22,20,21,12
2012-01,25,15,17,41,18,24,13
2012-02,34,17,13,57,22,25,8
2012-03,51,28,28,40,44,24,16
2012-04,43,27,18,41,30,19,20
2012-05,35,24,16,26,31,19,7
2012-06,22,20,9,27,24,14,5
2012-07,22,12,10,27,17,14,4
2012-08,22,8,14,26,14,12,10
2012-09,37,22,18,20,17,17,7
2012-10,46,31,24,42,37,19,13
2012-11,41,42,23,42,24,23,18
2012-12,33,36,20,36,42,17,8
2013-01,32,21,14,22,24,17,9
2013-02,36,27,25,18,26,19,17
2013-03,40,39,17,43,31,17,6
2013-04,45,37,18,49,40,18,7
2013-05,46,51,22,58,30,18,15
2013-06,22,20,8,11,17,13,3
2013-07,20,16,5,11,26,11,6
2013-08,20,13,11,11,12,11,3
2013-09,36,26,16,26,18,15,8
2013-10,52,58,40,45,35,16,5
2013-11,53,55,31,40,26,17,5
2013-12,38,27,25,30,26,14,4
2014-01,34,21,18,28,22,19,10
2014-02,46,39,23,31,29,18,3
2014-03,48,34,30,46,36,16,15
2014-04,48,41,21,38,38,16,5
2014-05,49,36,41,62,31,18,14
2014-06,30,21,20,16,26,14,10
2014-07,23,13,7,10,21,10,4
2014-08,28,25,17,31,27,11,0
2014-09,46,34,38,40,28,17,4
2014-10,56,38,30,28,37,15,3
2014-11,54,63,42,59,47,17,12
2014-12,40,26,32,43,34,12,0
2015-01,37,27,13,40,39,14,6
2015-02,47,38,29,24,32,16,5
2015-03,54,35,29,26,48,15,10
2015-04,59,48,42,64,22,15,8
2015-05,61,51,50,57,40,15,5
2015-06,34,35,25,18,30,13,5
2015-07,25,15,17,22,13,10,0
2015-08,31,21,10,13,30,11,6
2015-09,45,31,26,30,22,14,8
2015-10,56,36,33,41,25,15,5
2015-11,61,64,46,59,40,18,12
2015-12,50,45,48,55,29,20,8
2016-01,41,36,39,17,26,15,6
2016-02,50,26,29,27,37,16,2
2016-03,61,40,49,46,40,16,12
2016-04,68,57,51,39,53,17,13
2016-05,70,62,48,89,80,17,18
2016-06,32,29,22,22,49,12,8
2016-07,22,23,10,23,34,10,5
2016-08,31,18,9,28,26,11,4
2016-09,45,36,31,27,47,14,5
2016-10,58,42,39,43,51,15,9
2016-11,69,72,49,64,58,21,16
2016-12,47,34,43,59,42,15,6
2017-01,44,27,29,28,46,17,3
2017-02,63,45,40,78,53,18,6
2017-03,73,59,53,76,63,17,10
2017-04,76,60,49,61,88,15,10
2017-05,89,76,79,60,62,15,16
2017-06,44,50,26,21,50,15,6
2017-07,22,13,9,25,33,11,3
2017-08,32,28,17,20,37,11,6
2017-09,54,40,36,74,45,15,2
2017-10,65,49,62,54,38,14,7
2017-11,74,61,61,55,65,15,15
2017-12,51,44,55,80,50,14,5
2018-01,49,44,38,33,49,16,5
2018-02,61,52,58,37,43,14,2
2018-03,65,47,61,58,65,13,10
2018-04,88,63,73,88,50,13,16
2018-05,100,100,100,86,100,13,16
2018-06,43,43,42,34,43,9,2
2018-07,25,22,11,11,34,9,0
2018-08,31,37,17,15,37,10,4
2018-09,52,44,60,37,54,11,5
2018-10,60,58,42,69,79,13,7
