Month,coral reef: (Worldwide)
2004-01,90
2004-02,95
2004-03,97
2004-04,100
2004-05,100
2004-06,68
2004-07,56
2004-08,60
2004-09,75
2004-10,76
2004-11,78
2004-12,64
2005-01,78
2005-02,80
2005-03,78
2005-04,78
2005-05,83
2005-06,56
2005-07,50
2005-08,53
2005-09,61
2005-10,72
2005-11,66
2005-12,50
2006-01,63
2006-02,67
2006-03,68
2006-04,65
2006-05,70
2006-06,48
2006-07,44
2006-08,46
2006-09,48
2006-10,55
2006-11,54
2006-12,46
2007-01,51
2007-02,55
2007-03,55
2007-04,56
2007-05,61
2007-06,39
2007-07,36
2007-08,43
2007-09,45
2007-10,50
2007-11,47
2007-12,40
2008-01,44
2008-02,51
2008-03,49
2008-04,54
2008-05,51
2008-06,39
2008-07,38
2008-08,38
2008-09,42
2008-10,47
2008-11,43
2008-12,37
2009-01,44
2009-02,48
2009-03,50
2009-04,50
2009-05,49
2009-06,40
2009-07,38
2009-08,40
2009-09,40
2009-10,45
2009-11,42
2009-12,34
2010-01,40
2010-02,45
2010-03,45
2010-04,48
2010-05,47
2010-06,37
2010-07,35
2010-08,38
2010-09,37
2010-10,37
2010-11,35
2010-12,29
2011-01,34
2011-02,38
2011-03,40
2011-04,38
2011-05,41
2011-06,34
2011-07,31
2011-08,34
2011-09,35
2011-10,37
2011-11,34
2011-12,32
2012-01,37
2012-02,38
2012-03,39
2012-04,39
2012-05,38
2012-06,32
2012-07,31
2012-08,33
2012-09,35
2012-10,35
2012-11,32
2012-12,27
2013-01,33
2013-02,37
2013-03,38
2013-04,40
2013-05,41
2013-06,30
2013-07,30
2013-08,32
2013-09,33
2013-10,33
2013-11,33
2013-12,27
2014-01,32
2014-02,35
2014-03,37
2014-04,37
2014-05,38
2014-06,30
2014-07,29
2014-08,31
2014-09,31
2014-10,33
2014-11,30
2014-12,26
2015-01,32
2015-02,35
2015-03,36
2015-04,38
2015-05,38
2015-06,31
2015-07,29
2015-08,31
2015-09,31
2015-10,33
2015-11,31
2015-12,29
2016-01,33
2016-02,36
2016-03,36
2016-04,40
2016-05,39
2016-06,30
2016-07,27
2016-08,26
2016-09,31
2016-10,38
2016-11,34
2016-12,28
2017-01,33
2017-02,38
2017-03,43
2017-04,40
2017-05,41
2017-06,31
2017-07,31
2017-08,30
2017-09,34
2017-10,39
2017-11,36
2017-12,30
2018-01,37
2018-02,39
2018-03,39
2018-04,43
2018-05,42
2018-06,31
2018-07,31
2018-08,33
2018-09,33
2018-10,34
